Second rollout Python call timings, including blocking native calls.
CUDA kernel durations are not measured separately; profiling adds overhead.
         891570 function calls (890447 primitive calls) in 5.500 seconds

   Ordered by: cumulative time
   List reduced from 431 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    424/1    0.003    0.000    5.501    5.501 /home/windsky/miniconda3/envs/grasp/lib/python3.11/site-packages/torch/utils/_contextlib.py:113(decorate_context)
        1    0.011    0.011    5.501    5.501 /home/windsky/project/Grasp/scripts/train_teacher.py:599(run_rollout)
       70    0.012    0.000    5.349    0.076 /home/windsky/IsaacLab/source/isaaclab/isaaclab/envs/direct_rl_env.py:333(step)
     1401    0.006    0.000    3.472    0.002 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sim/simulation_context.py:541(step)
     1401    0.003    0.000    3.441    0.002 /home/windsky/isaacsim/exts/isaacsim.core.api/isaacsim/core/api/simulation_context/simulation_context.py:672(step)
     1401    0.003    0.000    3.437    0.002 /home/windsky/isaacsim/exts/isaacsim.core.api/isaacsim/core/api/physics_context/physics_context.py:563(_step)
     1401    3.284    0.002    3.287    0.002 {built-in method omni.physx.bindings._physx.fetch_results}
       70    0.020    0.000    0.870    0.012 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1722(_get_dones)
       70    0.001    0.000    0.800    0.011 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1712(_update_teacher_step_data)
     1403    0.005    0.000    0.718    0.001 /home/windsky/IsaacLab/source/isaaclab/isaaclab/scene/interactive_scene.py:465(write_data_to_sim)
       70    0.001    0.000    0.701    0.010 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1684(_update_teacher_contact_step_data)
       70    0.004    0.000    0.688    0.010 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1565(_accumulate_teacher_contact_substep)
      140    0.025    0.000    0.681    0.005 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/env.py:1541(_read_teacher_contact_forces)
     2806    0.017    0.000    0.676    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/assets/articulation/articulation.py:218(write_data_to_sim)
     1334    0.002    0.000    0.651    0.000 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/contact_sensor.py:52(data)
     1334    0.002    0.000    0.597    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/contact_sensor/contact_sensor.py:104(data)
     1334    0.062    0.000    0.595    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/sensor_base.py:354(_update_outdated_buffers)
     1334    0.065    0.000    0.488    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/sensors/contact_sensor/contact_sensor.py:364(_update_buffers_impl)
     2806    0.265    0.000    0.413    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/assets/articulation/articulation.py:1869(_apply_actuator_model)
     1334    0.019    0.000    0.275    0.000 /home/windsky/project/Grasp/source/Grasp/Grasp/tasks/direct/grasp/teacher/contact_sensor.py:62(_unpack_contact_buffer_data)
     1402    0.015    0.000    0.189    0.000 /home/windsky/IsaacLab/source/isaaclab/isaaclab/scene/interactive_scene.py:479(update)
